step,active_vehicles,waiting_time,halting,speed,reward
218,963,12944.0,95,6.945,-187.22249999999997
219,963,13039.0,95,6.945,-188.17249999999999
220,962,13134.0,95,6.945,-189.1225
221,962,13229.0,95,6.945,-190.0725
222,961,13324.0,95,6.945,-191.0225
223,961,13419.0,95,6.945,-191.97250000000003
224,959,13514.0,95,6.945,-192.9225
225,959,13609.0,95,6.945,-193.8725
226,959,13704.0,95,6.945,-194.8225
227,959,13799.0,95,6.945,-195.77249999999998
228,959,13894.0,95,6.945,-196.72250000000003
229,959,13989.0,95,6.945,-197.6725
230,959,14084.0,95,6.945,-198.6225
231,959,14179.0,95,6.945,-199.5725
232,958,14274.0,95,6.945,-200.52249999999998
233,958,14369.0,95,6.945,-201.4725
234,958,14464.0,95,6.945,-202.4225
235,958,14559.0,95,6.945,-203.3725
236,957,14654.0,95,6.945,-204.3225
237,956,14749.0,95,6.945,-205.27249999999998
238,956,14844.0,95,6.945,-206.2225
239,956,14939.0,95,6.945,-207.1725
240,955,15034.0,95,6.945,-208.1225
241,955,15129.0,95,6.945,-209.07250000000002
242,955,15224.0,95,6.945,-210.02250000000004
243,955,15319.0,95,6.945,-210.97249999999997
244,955,15414.0,95,6.945,-211.92249999999999
245,955,15509.0,95,6.945,-212.8725
246,955,15604.0,95,6.945,-213.8225
247,954,15699.0,95,6.945,-214.7725
248,954,15794.0,95,6.945,-215.72250000000003
249,954,15889.0,95,6.945,-216.6725
250,954,15984.0,95,6.945,-217.6225
251,954,16079.0,95,6.945,-218.5725
252,954,16174.0,95,6.945,-219.52249999999998
253,954,16269.0,95,6.945,-220.47250000000003
254,953,16364.0,95,6.945,-221.4225
255,952,16459.0,95,6.945,-222.3725
256,952,16554.0,95,6.945,-223.32250000000005
257,952,16649.0,95,6.945,-224.2725
258,952,16744.0,95,6.945,-225.2225
259,952,16839.0,95,6.945,-226.17249999999999
260,952,16934.0,95,6.945,-227.1225
261,952,17029.0,95,6.945,-228.0725
262,952,17124.0,95,6.945,-229.02250000000004
263,952,17219.0,95,6.945,-229.9725
264,952,17314.0,95,6.945,-230.9225
265,952,17409.0,95,6.945,-231.8725
266,952,17504.0,95,6.945,-232.8225
267,952,17599.0,95,6.945,-233.77250000000004
268,952,17694.0,95,6.945,-234.72249999999997
269,952,17789.0,95,6.945,-235.6725
270,952,17884.0,95,6.945,-236.6225
271,952,17979.0,95,6.945,-237.57250000000002
272,952,18074.0,95,6.945,-238.5225
273,952,18169.0,95,6.945,-239.47250000000003
274,952,18264.0,95,6.945,-240.4225
275,952,18359.0,95,6.945,-241.3725
276,952,18454.0,95,6.945,-242.3225
277,952,18549.0,95,6.945,-243.2725
278,952,18644.0,95,6.945,-244.2225
279,952,18739.0,95,6.945,-245.1725
280,951,18834.0,95,6.945,-246.1225
281,951,18929.0,95,6.945,-247.0725
282,951,19024.0,95,6.945,-248.0225
283,951,19119.0,95,6.945,-248.9725
284,951,19214.0,95,6.945,-249.92250000000004
285,951,19309.0,95,6.945,-250.8725
286,951,19404.0,95,6.945,-251.8225
287,951,19499.0,95,6.945,-252.77250000000004
288,951,19594.0,95,6.945,-253.7225
289,951,19689.0,95,6.945,-254.67250000000004
290,951,19784.0,95,6.945,-255.6225
291,951,19879.0,95,6.945,-256.57250000000005
292,951,19974.0,95,6.945,-257.52250000000004
293,951,20069.0,95,6.945,-258.4725
294,951,20164.0,95,6.945,-259.4225
295,951,20259.0,95,6.945,-260.37250000000006
296,950,20354.0,95,6.945,-261.3225
297,950,20449.0,95,6.945,-262.27250000000004
298,950,20544.0,95,6.945,-263.2225
299,950,20639.0,95,6.945,-264.1725
300,950,20734.0,95,6.945,-265.1225
301,950,20829.0,95,6.945,-266.0725
302,950,20924.0,95,6.945,-267.02250000000004
303,950,21019.0,95,6.945,-267.9725
304,950,21114.0,95,6.945,-268.9225
305,950,21209.0,95,6.945,-269.8725
306,950,21304.0,95,6.945,-270.82250000000005
307,950,21399.0,95,6.945,-271.77250000000004
308,950,21494.0,95,6.945,-272.72249999999997
309,950,21589.0,95,6.945,-273.6725
310,950,21684.0,95,6.945,-274.62250000000006
311,950,21779.0,95,6.945,-275.5725
312,950,21874.0,95,6.945,-276.52250000000004
313,950,21969.0,95,6.945,-277.47249999999997
314,950,22064.0,95,6.945,-278.4225
315,950,22159.0,95,6.945,-279.3725
316,950,22254.0,95,6.945,-280.32250000000005
317,950,22349.0,95,6.945,-281.27250000000004
318,950,22444.0,95,6.945,-282.2225
319,949,22539.0,95,6.945,-283.1725
320,949,22634.0,95,6.945,-284.12250000000006
321,949,22729.0,95,6.945,-285.0725
322,949,22824.0,95,6.945,-286.02250000000004
323,949,22919.0,95,6.945,-286.9725
324,948,23014.0,95,6.945,-287.9225
325,948,23109.0,95,6.945,-288.8725
326,948,23204.0,95,6.945,-289.8225
327,948,23299.0,95,6.945,-290.77250000000004
328,948,23394.0,95,6.945,-291.7225
329,948,23489.0,95,6.945,-292.6725
330,948,23584.0,96,5.20875,-294.9691
331,948,23379.0,94,6.95179791721443,-291.2693277898831
332,948,23173.0,93,6.950767285871125,-288.514320439132
333,948,22968.0,92,6.958333760580996,-286.02105268793775
334,948,22762.0,91,6.962049268917652,-283.2868624843685
335,948,22557.0,90,6.964193089408709,-280.5469326614223
336,948,22352.0,89,6.965124711143535,-278.0357887462545
337,948,22150.0,89,6.9625898619728,-275.9717537275257
338,948,21950.0,88,6.9617583954081965,-273.392047110249
339,948,21454.0,86,6.971777237200989,-267.8780903394705
340,948,20660.0,84,6.971602649022373,-258.6256878006745
341,948,19869.0,82,6.990079299419313,-249.74616088590724
342,948,19364.0,81,6.997404997078656,-243.80071534232877
343,948,18575.0,80,6.998353955162997,-235.54710088136852
344,947,17789.0,77,7.008100260241194,-226.1570452524744
345,947,17005.0,76,7.0069507197429,-217.78608832049102
346,947,16512.0,76,7.011012021558889,-212.85779017494457
347,947,16011.0,76,7.005828765764976,-207.51483902527718
348,947,15233.0,73,7.007593558721109,-198.47584395515386
349,947,14458.0,73,7.0109502237761605,-190.5854286541333
350,946,13688.0,72,7.004753203762042,-182.42472559577786
351,946,13214.0,73,7.007296833076763,-178.50507825160167
352,946,12448.0,72,7.0101771424895345,-170.35430418119986
353,946,12252.0,72,7.005439482845155,-168.30265897117306
354,946,12048.0,73,7.009911184818543,-166.72904336090699
355,946,11579.0,75,6.992756845788085,-162.517955368264
356,946,11389.0,76,6.989772714476531,-161.761036301692
357,946,10625.0,75,6.98543848548432,-153.70819707732574
358,946,10426.0,74,10.457551673913636,-148.3531879589118
359,945,9964.0,73,10.454387200799694,-143.33230674196028
360,945,9776.0,76,10.44672603438909,-142.79001281251632
361,945,9319.0,76,10.4494277331876,-138.16186143162386
362,945,8866.0,78,6.980024287300232,-137.74320127127643
363,945,8415.0,77,6.972121498275965,-132.14267225130737
364,945,8184.0,75,7.006335624279144,-129.657162400062
365,945,7697.0,72,6.999843087262946,-122.50624779687271
366,945,7213.0,71,6.999565242402411,-117.57888839934975
367,945,6731.0,70,6.999756680358553,-112.17329386358563
368,945,6512.0,69,7.001118216048679,-109.25468855086064
369,945,6035.0,68,7.002831656747969,-104.12421302730613
370,945,5558.0,66,7.001266812856975,-98.55625468285217
371,945,5081.0,64,7.000966290428057,-92.8166923462135
372,945,4875.0,67,7.002875333427607,-92.1374935690562
373,944,4416.0,65,6.997596534188318,-86.32101120809934
374,944,4167.0,61,10.47716207501455,-79.17927079595212
375,944,4185.0,60,10.508151117931696,-78.82095109655904
376,944,3949.0,59,7.043232624566448,-78.43923137326075
377,944,3725.0,55,10.526705479803748,-71.19037708107768
378,944,3519.0,57,10.520513489149549,-70.3692963833357
379,944,3553.0,57,7.040195272955537,-73.3846171205409
380,943,3607.0,60,10.51236045130314,-72.70152508902066
381,943,3647.0,60,10.498994158468653,-73.25210283279452
382,942,3690.0,64,7.035647487886862,-79.026163683931
383,942,3732.0,62,10.496860635704302,-74.95378076689579
384,942,3778.0,64,10.489419477873877,-76.40374410449478
385,942,3828.0,66,7.0156364056019065,-80.96306948332553
386,942,3875.0,65,10.484267722115572,-78.22407540189104
387,942,3943.0,69,10.490789939130893,-80.60883409350421
388,942,3987.0,72,7.014044118101007,-85.69374289095992
389,941,4032.0,71,10.467119420633765,-82.91906847997448
390,940,4079.0,72,10.470648801099907,-84.0602381126495
391,940,4127.0,72,6.993370500049052,-87.44832303504177
392,940,4184.0,73,10.46915407555878,-85.68340190048633
393,940,4237.0,74,10.472606266630345,-86.6627887885247
394,939,4301.0,75,6.9905020398917,-90.17042440029715
395,939,4353.0,73,10.462932944223633,-87.06469152165056
396,939,4409.0,75,10.460664705637985,-88.54882582907854
397,939,4462.0,74,6.989097112856053,-91.60574718288672
398,939,4516.0,72,10.460471553768569,-88.15386706450873
399,939,4568.0,70,10.465145081231867,-87.88213935575112
400,939,4629.0,73,6.987280626794728,-92.51889595545668
401,939,4692.0,71,10.459834268900433,-89.29709911038594
402,938,4755.0,73,10.459154451233552,-91.0145473996941
403,938,4807.0,71,6.988804325259361,-93.49550819027091
404,938,4860.0,70,10.455217937853334,-90.46905626249213
405,938,4925.0,71,6.988583569634992,-94.99740301639116
406,937,4991.0,71,10.46076581653387,-92.32184184663997
