step,active_vehicles,waiting_time,halting,speed
413,942,25349.0,306,1.695420533612534
414,940,25342.0,303,1.5676928351488641
415,940,25332.0,300,1.542446895568785
416,939,25453.0,298,1.534764837075682
417,938,25409.0,294,1.5113126813630229
418,938,25631.0,295,1.5609187582519606
419,938,25576.0,290,1.624840311872088
420,938,25530.0,290,1.677735579404426
421,938,25497.0,290,1.7383304161423296
422,938,25660.0,290,1.7782524972958
423,938,25827.0,289,1.78064529506734
424,938,25993.0,288,1.7710959922853375
425,937,26191.0,287,1.7587919288547424
426,937,25771.0,288,1.8730012511884702
427,937,25420.0,286,1.8374130966847897
428,937,24762.0,287,1.8019246776556617
429,937,23791.0,284,1.830189654379176
430,936,23181.0,281,1.777284004565858
431,936,22253.0,281,1.773733437046927
432,936,21760.0,280,1.7883781844190165
433,936,21361.0,278,1.8715291891478103
434,936,20970.0,279,1.9197212742791832
435,934,20583.0,279,1.8849045240355344
436,934,20205.0,278,1.9159741464139806
437,934,19845.0,279,1.926055137783414
438,934,19443.0,277,1.9732658295214591
439,933,18806.0,275,1.951905130055014
440,933,18181.0,274,1.939472147692272
441,931,17557.0,271,1.922066840535399
442,930,16938.0,271,1.8954690262573486
443,929,16691.0,273,1.9228177789105445
444,929,16367.0,276,1.9384027325747366
445,928,16047.0,274,1.8977037589552486
446,928,15943.0,281,1.8865893874553483
447,927,15893.0,279,1.8476839004283043
448,927,15790.0,281,1.8307024567072951
449,926,15692.0,278,1.7366386984231148
450,923,15751.0,275,1.6170981656209888
451,923,15553.0,270,1.6005419384092334
452,923,15560.0,271,1.6158991306353145
453,922,15591.0,273,1.579079960413574
454,922,15650.0,272,1.603207094189232
455,922,15715.0,272,1.6003986444063567
456,922,15786.0,274,1.5991075527476935
457,922,15936.0,276,1.6127858492033835
458,922,16066.0,281,1.6451022120525653
459,922,16211.0,285,1.6792557334319744
460,921,16351.0,285,1.6228168620126602
461,920,16492.0,286,1.6004656788740408
462,920,16530.0,289,1.5868782327512212
463,919,16564.0,289,1.5882785178414585
464,919,16589.0,286,1.5982418070172844
465,919,16655.0,284,1.616725108534812
466,919,16702.0,287,1.6493240979505397
467,919,16750.0,289,1.6703290888339604
468,919,16820.0,286,1.6898065450364443
469,918,16908.0,290,1.6841952099838604
470,918,17002.0,291,1.691708860526016
471,918,17130.0,292,1.668221145663432
472,916,17288.0,293,1.6167055019159426
473,916,17427.0,292,1.6618164547736374
